commentaire,label_raw,score,label_bin
@IdilAbdillahi-cx1uh ❤❤❤❤❤osman,positive,0.6703815460205078,1
@polomono6326 Pwahahhaha le football c'est terminé.,neutral,0.37934643030166626,0
@zhahahaha1 Pense à nettoyer ton appart de temps en temps Ousmane. En Allemagne tu n'as pas laissé que des bons souvenirs 😂,positive,0.5327267050743103,1
@isaacmouanga6785 ❤,positive,0.49864646792411804,1
@MauriceYengoVala-Ki-Sisa Sa femme n'a pas été remerciée. Bizarre ! Peut-être que sa femme ne l'a pas voulu !!!???!!.,negative,0.9481574892997742,0
"@bensoussanrudy15 Mbappé : imbus de sa personne, qui croit que c’est la 8 ieme merveille du monde pas de ballon d’or 

Dembele : humble drôle et gentil résultat ballon d’or",negative,0.43577665090560913,0
@muchammadfaisal1031 ❤❤❤ From Indonesia Ousmane,positive,0.5460326075553894,1
@cheikhfall3964 La maman de Dembelé ne rit pas😅,neutral,0.40262892842292786,0
@oussoustim Dembele ballon d'or 🎉🎉🎉🎉 totalement mérité ❤❤❤❤❤,positive,0.9371340274810791,1
"@ffxivonline5864 Apparemment il n'est pas français, ça mère dit que c'est l'Afrique qui gagne 🤷 a mon avis si il n'avait jamais vécu en Europe il serait entrain de jouer sur des terrains boueux et inconnus du publique, c'est comme ça que ces gens nous remercie",negative,0.607417106628418,0
"@Igris-e7t Le pauvre yamal peut être une prochaine fois, ce n'était pas son tour 😊",negative,0.7467902302742004,0
@sunnahdiakho2086 j'ai failli pleure non j'ai pleure,negative,0.8851513862609863,0
"@justiceamour9842 C'est donc la victoire de la justice qui a triomphé face à une grave injustice subie par Dembélé qui n'était jamais sollicité et recherché normalement  comme cela se fait habituellement envers les attaquants d'une équipe

Voici la seule magnifique leçon de vie à tirer de cette décision Dembélé ballon d'Or. C'est que malgré la crapuleuse et méchante injustice de privation de ballon systématique subies (dans son propre club) à l'encontre de Dembélé (et Barcolat) orchestré très franchement (depuis très longtemps)  par les égoïstes arrivistes assoiffés maladifs de gloire et leadership dont Vitinha (le chef suprême), Nino mendès, HAKIMI et aussi Varacelia s'arrangeant toujours pour que LA DÉTENTION DE BALLE, L'animation de jeux ET LES ACTIONS MÊME FINALES passent essentiellement et en quasi totalité qu'avec EUX ET QUE POUR EUX, SANS JAMAIS SOLLICITER SYSTEMATIQUEMENT, NORMALEMENT, NI MÊME PETITEMENT L'ATTAQUANT DEMBÉLÉ (BARCOLA et DOUÉ). 

C'est ainsi qu'on aperçoit jusqu'à ce jour (dans tous les matchs et les saisons) que Vitinha, Nino Mendez, Hakimi (situés pourtant plus en arrière poste que les attaquants) qu'ils sont les plus souvent (lors de la quasi totalité des actions et jeux offensifs) les plus anormalement sollicités, les plus lancés, les plus trouvés et recherchés QUE LES ATTAQUANTS DEMBELE (BARCOLA et DOUE). 

Si bien que ce ne sont que les très infimes et insignifiantes situations de coïncidence de toucher de balle provenant de contre attaque, pressing, de perte de balle de l'adversaire ou D'ABSCENCE FLAGRANTE DE CHOIX VERS UN AUTRE COÉQUIPIER, qui ont permis à Dembélé (et aussi Barcola et DOUÉ) de montrer son talent. 

Quel aurait donc été le résultat et la performance footballistique démontrée de Dembélé si ces anti-joueurs arrivistes cessaient leurs stratégies de mise au placard et de tuerie de leurs attaquants plus talentueux qu'eux (en les privant de ballon et de bonnes opportunités) ; Ceci dans l'unique but d'espérer que leurs talents à eux (bien moindre) fussent (uniquement) vus à travers de millions de touchers de balles et de conservations égoïstes de ballon (à l'instar de Kvaratskhelia très très personnel, de Mendès, Hakimi et Vitinha le cerveau de cette stratégie, le propriétaire de ballon et l'assoiffé de gloire). 

AINSI EN PRIVANT DEMBELE DE NOMBREUSES ACTIONS ET DE BALLON, LES COÉQUIPIERS ANTI-JOUEURS ONT INCITÉ LA VRAIE JUSTICE QUI S'IMMISCE DANS TOUT, QUI SE RÉVÈLE ET SE GLORIFIE EN SON FILS EXPIATOIRE ET QUI RÉTRIBUE TÔT OU TARD, QUI A DONNÉ LE BALLON D'OR A DEMBÉLÉ, TANDIS QUE CELUI-CI EST CONSCIENT D'AVOIR MOINS PERFORMER INDIVIDUELLEMENT PAR RAPPORT À SON TALENT CONNU (même si toutefois aucun challenger de ce ballon d'or, (AYANT REMPORTÉ TOUTES LES COMPÉTITIONS COMME DEMBÉLÉ L'A FAIT), N'A NULLEMENT ÉTÉ AUSSI PERFORMANT DANS LA CONSTANCE QUE LUI (DEMBÉLÉ). La justice personnifiée a créé les conditions de la juste RÉTRIBUTION comme lorsque Paris gagne quasiment tout et ses plus grands challenges et EXPLOITS tout juste après le départ avec mépris d'MBAPPÉ mais beaucoup d'enthousiasme débordant arboré vis-à-vis du Réal, déifiant presque le club à haute voix et se voyait déjà champion de tout,  loin devant un PSG très décrié laissé en ruine.

En ce sens le puissant dicton est vrai : ""La course, la victoire ou la couronne n'appartient pas au plus agile, au plus filou, au plus déluré et encore moins aux malhonnêtes joueurs égoïstes boycottant et fuyant du ballon leurs attaquants plus talentueux qu'eux, en vue de les éteindre"".",negative,0.5015643239021301,0
@donduciel148 Félicitations  Dembele.TU le mérites ce bellon d'or  Que Dieu te benisse davantage,positive,0.9303649663925171,1
